tx_power_max,tput_airtime_tx,avg_util_rx_other_bss,avg_util_unknown_wifi,avg_util_non_wifi,pq_tpt_diff,avg_util_all,avg_nclients,airuse_by_len,retry_by_req,pq_air_diff,pq_airuse,pq_length,pq_max_used,pq_requested,pq_retried,pq_rtsfail,pq_throughput,wirelink_dl,tput_parametric,chanutil_intf,num_streams,band,avg_rssi,txrate_by_streams,rxrate_by_streams,txrate_by_wandl,rxrate_by_wandl,download,download_norm
8,0.690028836,0.007174216,0.016759368,0.002415818,4.0,0.053301293,9,0.012152777777777778,0.0,2.0,7.0,576,0.0,3.0,0.0,0.0,4,90.0,312.5175876658269,0.026349401,3,5,-53.0,200.0,8.0,6.666666666666667,0.26666666666666666,29.889,0.3321
8,0.6759106109999999,0.008117481999999999,0.008995338,0.002897218,15.0,0.05898821,10,0.008680555555555556,0.0,35.0,5.0,576,0.0,2.0,0.0,0.0,0,90.0,307.6083285424971,0.020010038,3,5,-55.0,200.0,200.0,6.666666666666667,6.666666666666667,45.313,0.5034777777777778
8,0.669231369,0.008327442,0.017103089,0.002119943,15.0,0.06640959,10,0.06944444444444445,1.5263157894736843,35.0,40.0,576,1.0,19.0,29.0,0.0,15,90.0,305.4814621835786,0.027550474,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,38.38,0.42644444444444446
8,0.6974039340000001,0.007326561999999998,0.009413308,0.002186348,40854.0,0.04510674,9,0.008680555555555556,0.0,8275.0,5.0,576,0.0,2.0,0.0,0.0,0,90.0,319.3039483851404,0.018926218,3,5,-54.0,180.0,200.0,6.0,6.666666666666667,21.773000000000003,0.24192222222222226
8,0.27647523,0.012270208,0.010472687,0.003113686,518.0,0.5128053,9,14.375,0.02196475983586773,27.0,8280.0,576,17.0,4143.0,91.0,264.0,40854,90.0,126.772431228938,0.025856581,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,38.631,0.42923333333333336
8,0.659919024,0.008945564,0.016613888,0.002393361,41214.0,0.08675664,9,14.328125,0.024461128602567207,7872.0,8253.0,576,16.0,4129.0,101.0,264.0,41372,90.0,303.1696181397515,0.027952813,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,41.934,0.4659333333333333
8,0.639847377,0.007643919,0.009411356,0.002014487,153.0,0.09905847,10,0.6614583333333334,0.005747126436781609,364.0,381.0,576,4.0,174.0,1.0,6.0,158,90.0,293.1301614246045,0.019069762,3,5,-55.0,200.0,200.0,6.666666666666667,6.666666666666667,33.931999999999995,0.37702222222222215
8,0.65842002,0.007348023,0.014052545,0.002146306,167.0,0.0784222,10,0.029513888888888888,0.375,183.0,17.0,576,0.0,8.0,3.0,0.0,5,90.0,302.0486800144643,0.023546874,3,5,-55.0,200.0,8.0,6.666666666666667,0.26666666666666666,37.531,0.4170111111111111
8,0.619651692,0.06776499999999999,0.000489211,0.001244998,59.0,0.11149812,11,0.3472222222222222,0.022988505747126436,81.0,200.0,576,5.0,87.0,2.0,1.0,172,90.0,253.7313151153019,0.069499209,3,5,-52.0,150.0,200.0,5.0,6.666666666666667,9.405,0.1045
8,0.533585934,0.1180797,0.01618025,0.001279187,687.0,0.20712674,11,0.2065972222222222,0.13043478260869565,336.0,119.0,576,0.0,46.0,6.0,0.0,113,90.0,217.13775372101665,0.135539137,3,5,-51.0,162.0,8.0,5.4,0.26666666666666666,8.525,0.09472222222222222
8,0.4270861620000001,0.08241947,0.003539959,0.0001952,755.0,0.34545982,9,0.7899305555555556,0.15789473684210525,311.0,455.0,576,0.0,171.0,27.0,4.0,800,90.0,174.55243835604193,0.08615463,3,5,-53.0,162.0,200.0,5.4,6.666666666666667,8.988999999999997,0.09987777777777775
8,0.279992376,0.2403042,0.009523707,0.00018942,163.0,0.50889736,9,0.25,0.2,1936.0,144.0,576,0.0,60.0,12.0,1.0,45,90.0,114.43728297542086,0.250017327,3,5,-53.0,180.0,200.0,6.0,6.666666666666667,8.953,0.09947777777777778
8,0.448303158,0.08570929,0.00638992,5.27e-05,116.0,0.32188538,9,3.611111111111111,0.005668934240362812,1337.0,2080.0,576,2.0,882.0,5.0,7.0,208,90.0,182.72795059267528,0.092151938,3,5,-53.0,180.0,200.0,6.0,6.666666666666667,7.8439999999999985,0.08715555555555554
8,0.433284372,0.12844622,0.010789921,0.000704815,310.0,0.33857292,9,1.2899305555555556,0.020588235294117647,482.0,743.0,576,3.0,340.0,7.0,8.0,92,90.0,178.0740015992441,0.139940956,3,5,-53.0,150.0,180.0,5.0,6.0,5.862,0.06513333333333333
8,0.31043268,0.18095563,0.18007682,0.000838766,0.0,0.4550748,11,0.453125,0.30409356725146197,0.0,261.0,576,15.0,171.0,52.0,19.0,402,90.0,132.7955919135525,0.361871216,3,5,-51.0,200.0,200.0,6.666666666666667,6.666666666666667,36.427,0.40474444444444446
8,0.31043268,0.18095563,0.18007682,0.000838766,10538.0,0.4550748,11,0.453125,0.30409356725146197,1754.0,261.0,576,15.0,171.0,52.0,19.0,402,90.0,132.7955919135525,0.361871216,3,5,-51.0,135.0,200.0,4.5,6.666666666666667,37.815,0.42016666666666663
8,0.22998438,0.20354657,0.097566284,0.001119589,0.0,0.5344618,12,3.498263888888889,0.07548770144189991,0.0,2015.0,576,21.0,1179.0,89.0,137.0,10940,90.0,101.21815322629095,0.302232443,3,5,-54.0,180.0,200.0,6.0,6.666666666666667,20.927,0.2325222222222222
8,0.22998438,0.20354657,0.097566284,0.001119589,10825.0,0.5344618,12,3.498263888888889,0.07548770144189991,1743.0,2015.0,576,21.0,1179.0,89.0,137.0,10940,90.0,101.21815322629095,0.302232443,3,5,-54.0,180.0,200.0,6.0,6.666666666666667,20.164,0.22404444444444446
8,0.40997952,0.18492153,0.11604723,0.000385711,0.0,0.34446720000000003,11,0.4722222222222222,0.08823529411764706,0.0,272.0,576,3.0,136.0,12.0,16.0,115,90.0,181.25881126804396,0.301354471,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,26.127,0.2903
8,0.40997952,0.18492153,0.11604723,0.000385711,108.0,0.34446720000000003,11,0.4722222222222222,0.08823529411764706,260.0,272.0,576,3.0,136.0,12.0,16.0,115,90.0,181.25881126804396,0.301354471,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,24.109,0.26787777777777777
8,0.5584431329999999,0.12381062,0.005935912,0.001000709,0.0,0.17950763,11,0.020833333333333332,0.0,0.0,12.0,576,0.0,5.0,0.0,0.0,7,90.0,247.9789107785953,0.13074724,3,5,-53.0,180.0,8.0,6.0,0.26666666666666666,26.939,0.2993222222222222
8,0.5584431329999999,0.12381062,0.005935912,0.001000709,12.0,0.17950763,11,0.020833333333333332,0.0,48.0,12.0,576,0.0,5.0,0.0,0.0,7,90.0,247.9789107785953,0.13074724,3,5,-53.0,150.0,200.0,5.0,6.666666666666667,19.182,0.2131333333333333
