airwatch,ap,ap_id,ap_mac,apfw,available_bw,avg_mcs,avg_nclients,avg_noise,avg_rssi,avg_snr,avg_util_all,avg_util_non_wifi,avg_util_rx_in_bss,avg_util_rx_other_bss,avg_util_tx,avg_util_unknown_wifi,band,bandwidth,channel,chanutil_intf,client_dl,client_tx_airtime,client_txrx_bw,clientmac,clientname,cloud_rtt,connect_time_sec,device_type,download,dt,dual_band,epoch,error_rate,family,free_bw,hostname,id,idle_time,ip,is_guest,jitter,key_mgmt,last_seen,latency,mac,manufacture,map_id,mcs_drops,mcs_type,model,num_locating_aps,num_locating_aps.1,num_streams,org,os,ping,pq_airuse,pq_dropped,pq_length,pq_max_used,pq_requested,pq_retried,pq_rtsfail,pq_throughput,proto,protocol,psk_id,resultdate,roam_count,rssi,rt,rx_bitrate,rx_bps,rx_bytes,rx_pkts,rx_rate,rx_retries,site,site_id,snr,ssid,sum_active,sum_txpkts,total_aps,total_clients,tput,tput_airtime_rx,tput_airtime_tx,tput_d,tput_d_heuristic,tput_derr,tput_max,tput_max_u,tput_theta0,tput_theta1,tput_theta2,tput_u,tput_uerr,ttl,tx_bitrate,tx_bps,tx_bytes,tx_pkts,tx_power,tx_power_max,tx_rate,tx_retries,upload,uptime,username,vlan_id,wan_dl,wirelink_dl_mbps,wirelink_dl_measure,wirelink_up_mbps,wirelink_up_measure,wlan_id,x,y,wirelink_dl,download_norm
,5c-5b-35-0e-57-a8,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.2.13527-braavos-f67e,9.55362912,0,14,-90,-56.0,34.0,0.08759792,0.001763985,0.00048028800000000005,0.043348935,0.035709232,0.0062954840000000005,5,,56,0.051408405,280.7596173,0,0,UNKNOWN,UNKNOWN,235.25,1357,UNKNOWN,35.505,UNKNOWN,False,1536146110,0.00010690299999999999,Mac,18.248041600000004,AshutoshT-Macs,9801a7b6c591,0,172.29.9.26,False,1.888888889,WPA2-PSK/CCMP,1536146078,0.7705230340000001,9801a7b6c591,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,High Sierra,5,8333.0,0,576,21.0,4207.0,74.0,237.0,43140,ac,ac,,UNKNOWN,0,-57,1536146040,600.0,1877171.0,790323952,465787,600.0,32705,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,31,Mist-TAL-staging,1,5774,,,43.365061,0.614161872,0.614161872,280.7596173,,91.42854029,457.1427015,457.1427015,460.90487029999997,5,-80.0,252.68365559999998,91.42854029,280,450.0,43365061.0,621399962,500097,0,8,450.0,35592,47.361999999999995,1357,,1,90.0,90.0,,58.80500404,,35f2a6c8-edce-11e6-94a2-0242ac110003,638.9500148,516.0629067,90.0,0.3945
,5c-5b-35-0e-57-a8,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.2.13527-braavos-f67e,4.12946128,0,14,-90,-62.0,32.0,0.49503848,0.000897389,0.014450992,0.49860740000000003,0.06094141,0.15014129999999998,5,,56,0.649646089,110.95402790000001,0,0,UNKNOWN,UNKNOWN,293.5,3789,UNKNOWN,16.9364,UNKNOWN,False,1536148567,0.000211153,Mac,10.0992304,AshutoshT-Macs,9801a7b6c591,0,172.29.9.26,False,16.77777778,WPA2-PSK/CCMP,1536148520,1.2253086420000001,9801a7b6c591,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,High Sierra,31,349.0,0,576,7.0,183.0,9.0,9.0,336,ac,ac,,UNKNOWN,0,-58,1536148500,600.0,175607.0,2118175939,1378802,560.0,115422,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,25,Mist-TAL-staging,1,648,,,0.346918,0.26546536800000003,0.26546536800000003,110.95402790000001,,83.59209242,417.96046210000003,417.96046210000003,423.09190480000007,5,-80.0,99.85862509,83.59209242,297,450.0,346918.0,1725913847,1341679,0,8,475.0,99572,10.427,3789,,1,90.0,90.0,,47.13416422,,35f2a6c8-edce-11e6-94a2-0242ac110003,634.8002234,515.8054759,90.0,0.18818222222222222
,5c-5b-35-0e-57-a8,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.3.14845-cersei-76c1,10.15666215,0,7,-90,-59.0,31.0,0.14345823,0.002672443,0.0018262929999999999,0.08658154,0.033984467000000004,0.018393458999999997,5,,36,0.107647442,18.31736565,0,0,UNKNOWN,UNKNOWN,261.0,7062,UNKNOWN,40.922,UNKNOWN,False,1538123378,0.001350882,iPhone,17.1308354,Jagga-iphone,a0d7959854ef,54,172.29.9.53,False,1.7777777780000001,WPA2-PSK-FT/CCMP,1538123337,1.014091527,a0d7959854ef,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,7+,1,,2,b425e4f2-ad72-11e6-8a23-0242ac110004,11.2.1,9,22.0,0,576,0.0,9.0,8.0,0.0,35,ac,ac,,UNKNOWN,UNKNOWN,-59,UNKNOWN,400.0,400.0,927954945,32227,4000.0,32498,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,31,Mist-TAL-staging,0,UNKNOWN,,,0.036014,0.626887593,0.626887593,18.31736565,,60.86179862,304.3089931,304.3089931,308.872282,5,-80.0,171.690779,60.86179862,288,400.0,400.0,1052898511,675191,0,15,4000.0,85384,5.5889999999999995,7185,,1,90.0,90.0,,45.27936288,,35f2a6c8-edce-11e6-94a2-0242ac110003,837.4803255,516.2533465,90.0,0.45468888888888886
,5c-5b-35-0e-57-a8,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.2.13527-braavos-f67e,5.1199092,0,14,-90,-51.0,39.0,0.4042922,0.0012184239999999999,0.11318358,0.02718999,0.26171120000000003,0.000988993,5,,56,0.029397407,89.82863439,0,0,UNKNOWN,UNKNOWN,285.375,12811,UNKNOWN,27.91,UNKNOWN,False,1536061788,0.002255285,,11.914156,RamkrishnaV-ub-lp,7440bbd01f19,0,172.29.9.32,False,8.777777777999999,WPA2-PSK/CCMP,1536061770,1.011771995,7440bbd01f19,Hon Hai Precision Ind. Co.,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,2,b425e4f2-ad72-11e6-8a23-0242ac110004,Linux,8,2.0,0,576,0.0,2.0,0.0,0.0,0,ac,ac,,UNKNOWN,0,-50,1536061680,6.0,30569.0,208382019,157143,6.0,22271,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,41,Mist-TAL-staging,0,807,,,0.000592,0.32913702,0.32913702,89.82863439,,54.58433961,272.9216981,272.9216981,279.3874375,5,-72.71333774,80.84577096,54.58433961,290,324.0,34556.0,355474498,253143,0,8,270.0,12171,13.829,12871,,1,90.0,90.0,,50.87963772,,35f2a6c8-edce-11e6-94a2-0242ac110003,691.5251875,431.3925063,90.0,0.3101111111111111
,5c-5b-35-2e-1d-10,00000000-0000-0000-1000-5c5b352e1d10,5c5b352e1d10,apfw-0.5.16557-master-7a9c,0.853076287,0,9,-90,-64.0,26.0,0.8072288000000001,0.0007323364,0.054855995,0.035100464,0.71543515,0.0011048431,5,40.0,132,0.0369376435,20.9306983948,0,0,UNKNOWN clientmac,UNKNOWN clientname,13.5,1891,UNKNOWN device_type,84.45200000000001,UNKNOWN dt,False,1549043026,0.00686213972406,,3.8554239999999997,Galaxy-C9-Pro,7c787e9232c8,0,10.2.11.32,False,2.1111111111099996,WPA2-PSK-FT/CCMP,1549042996,5.95121849091,7c787e9232c8,Samsung Electronics Co.,2e8b48e5-2b94-422f-84c3-1722bf9baad4,0,UNKNOWN mcs_type,,1,1,1,9291176a-6e1e-11e5-9cdd-02e208b2d34f,Linux,14,1782.0,0,576,195.0,13470.0,1888.0,58.0,80271,ac,ac,,UNKNOWN resultdate,UNKNOWN roam_count,-64,UNKNOWN rt,200.0,200.0,553783836,9916,2000.0,123356,,9291ba26-6e1e-11e5-9cdd-02e208b2d34f,26,Rivendell,1,UNKNOWN sum_txpkts,21.0,79.0,81.589381,0.01149408,0.01149408,20.9306983948,UNKNOWN tput_d_heuristic,28.939500128800002,144.697500644,144.697500644,150.59568968,5,-80.0,1.49684818338,28.939500128800002,269,150.0,150.0,1838672542,1340940,0,8,1500.0,258495,20.429000000000002,1891,,1,180.0,180.0,UNKNOWN wirelink_dl_measure,86.23899999999999,UNKNOWN wirelink_up_measure,85c35eda-b25d-424e-8c5b-6e4f1771d905,926.758305281,1023.54018171,180.0,0.46917777777777786
,5c-5b-35-0e-07-44,00000000-0000-0000-1000-5c5b350e0744,5c5b350e0744,apfw-0.2.13527-braavos-f67e,8.1565407,0,3,-90,-54.0,36.0,0.29738995,0.0008886000000000001,0.059818394000000004,0.07867331,0.15797059,3.91e-05,5,,40,0.07960096900000001,147.3911083,0,0,UNKNOWN,UNKNOWN,2087.375,11291,UNKNOWN,9.464,UNKNOWN,False,1536241460,0.001093637,,14.052201,CPU-328,60672053de2c,0,172.29.101.150,False,6.0,WPA2-PSK/CCMP,1536241437,1.2084386999999999,60672053de2c,Intel Corporate,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,Windows 7,6,2983.0,0,576,46.0,1703.0,13.0,281.0,9646,n,n,,UNKNOWN,0,-54,1536241380,300.0,370700.0,1603485663,1644073,300.0,523,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,38,Mist-TAL-staging,1,10650,,,9.798461999999999,0.524349045,0.524349045,147.3911083,,56.21870003,281.0935001,281.0935001,292.5514907,5,-70.0,132.65199750000002,56.21870003,278,300.0,9798462.0,1536046176,1612634,0,8,300.0,7739,9.366,11291,,1,90.0,90.0,,6.431002575,,35f2a6c8-edce-11e6-94a2-0242ac110003,354.78145,473.5549379,90.0,0.10515555555555556
,5c-5b-35-0e-07-44,00000000-0000-0000-1000-5c5b350e0744,5c5b350e0744,apfw-0.2.13527-braavos-f67e,10.45283534,0,4,-90,-52.0,38.0,0.123368904,0.0013455939999999999,0.00037301699999999996,0.06682173,0.05409913,0.000729433,5,,40,0.068896757,191.4500946,0,0,UNKNOWN,UNKNOWN,242.75,11655,UNKNOWN,9.571,UNKNOWN,False,1536241839,0.001214748,,17.53262192,CPU-328,60672053de2c,0,172.29.101.150,False,0.444444444,WPA2-PSK/CCMP,1536241803,0.718085106,60672053de2c,Intel Corporate,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,Windows 7,6,449.0,0,576,2.0,179.0,1.0,1.0,199,n,n,,UNKNOWN,0,-52,1536241800,300.0,97796.0,1665397333,1700432,300.0,534,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,40,Mist-TAL-staging,1,376,,,0.209785,0.671967986,0.671967986,191.4500946,,56.98190938,284.90954689999995,284.90954689999995,292.6943363,5,-70.0,172.3050851,56.98190938,287,300.0,209785.0,1575637032,1661659,0,8,300.0,8127,9.406,11655,,1,90.0,90.0,,55.29933677,,35f2a6c8-edce-11e6-94a2-0242ac110003,355.6626948,476.6338234,90.0,0.10634444444444444
,5c-5b-35-0e-07-44,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.2.13527-braavos-f67e,8.47512736,0,11,-90,-81.0,10.0,0.21463376,2.34e-05,0.0020535429999999997,0.12805101,0.08335156,0.001154202,5,,40,0.129228648,83.80278195,0,0,UNKNOWN,UNKNOWN,286.5,2751,UNKNOWN,5.640299999999999,UNKNOWN,False,1536232914,0.0031698309999999997,Mac,15.707324800000002,sudarshans-mac,f40f242b73e3,0,172.29.9.40,False,9.666666667000001,WPA2-PSK/CCMP,1536232904,0.0,f40f242b73e3,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,3,,2,b425e4f2-ad72-11e6-8a23-0242ac110004,Sierra,31,0.0,0,0,0.0,0.0,0.0,0.0,0,ac,ac,,UNKNOWN,0,-59,1536232860,24.0,15544060.0,442417714,321582,300.0,24131,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,30,Mist-TAL-staging,0,110692,,,0.0,0.544829616,0.544829616,83.80278195,,30.76293193,153.8146596,153.8146596,346.11480750000004,5,-78.88345474,75.42250375,30.76293193,291,6.5,343742.0,275942614,233240,0,8,400.0,4797,22.873,1256,,1,90.0,90.0,,46.85484817,,35f2a6c8-edce-11e6-94a2-0242ac110003,823.2366737,521.3020738,90.0,0.06266999999999999
,5c-5b-35-0e-57-a8,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.2.13527-braavos-f67e,7.06349952,0,19,-90,-59.0,31.0,0.21546432,0.0016004510000000001,0.032995276000000004,0.040433127,0.13527379999999997,0.005161676,5,,56,0.047195255,159.31041480000002,0,0,UNKNOWN,UNKNOWN,232.25,8553,UNKNOWN,42.169,UNKNOWN,False,1536217589,0.0008689139999999999,Mac,15.6907136,AjayG1-mac,c4b301d1d371,0,172.29.9.52,False,2.333333333,WPA2-PSK/CCMP,1536217540,1.272908367,c4b301d1d371,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,High Sierra,6,98.0,0,576,1.0,43.0,11.0,1.0,18,ac,ac,,UNKNOWN,0,-59,1536217500,24.0,49101.0,255944554,324138,24.0,26883,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,33,Mist-TAL-staging,1,251,,,0.02118,0.45408211200000004,0.45408211200000004,159.31041480000002,,70.16810865,350.8405432,350.8405432,356.9355194,5,-79.26433487,143.37937340000002,70.16810865,297,600.0,21180.0,593143701,500226,0,8,600.0,38211,41.56,8553,,1,90.0,90.0,,57.79941442,,35f2a6c8-edce-11e6-94a2-0242ac110003,661.7309124,415.2109107,90.0,0.46854444444444443
,5c-5b-35-0e-07-44,00000000-0000-0000-1000-5c5b350e0744,5c5b350e0744,apfw-0.2.13527-braavos-f67e,10.83736136,0,1,-90,-55.0,35.0,0.12590276,0.000926682,4.2e-05,0.08574589,0.03873901,0.00044918199999999996,5,,40,0.08712175400000001,196.326855,0,0,UNKNOWN,UNKNOWN,265.25,22507,UNKNOWN,9.509,UNKNOWN,False,1536252778,0.002047664,,17.4819448,CPU-328,60672053de2c,0,172.29.101.150,False,1.111111111,WPA2-PSK/CCMP,1536252759,0.814528728,60672053de2c,Intel Corporate,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,Windows 7,7,0.0,0,0,0.0,0.0,0.0,0.0,0,n,n,,UNKNOWN,0,-55,1536252660,300.0,365459.0,3452766926,3507072,300.0,990,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,34,Mist-TAL-staging,0,5761,,,0.0,0.6966875159999999,0.6966875159999999,196.326855,,56.36008984,281.8004492,281.8004492,290.9897892,5,-72.11577538,176.69416950000002,56.36008984,287,300.0,9875726.0,3225955557,3422322,0,8,300.0,19248,9.475,22566,,1,90.0,90.0,,50.60853534,,35f2a6c8-edce-11e6-94a2-0242ac110003,351.6926107,462.7627398,90.0,0.10565555555555556
