,link,poe_status,poe_power,rx_packets,tx_packets,rx_fcserrors,time
0,True,False,0.0,162,1125,1,2019-12-08T00:00
1,True,False,0.0,163,1433,0,2019-12-08T00:01
2,True,False,0.0,158,962,1,2019-12-08T00:02
3,True,False,0.0,161,1321,1,2019-12-08T00:03
4,True,False,0.0,159,934,0,2019-12-08T00:04
5,True,False,0.0,151,949,0,2019-12-08T00:05
6,True,False,0.0,148,853,3,2019-12-08T00:06
7,True,False,0.0,145,960,0,2019-12-08T00:07
8,True,False,0.0,161,978,0,2019-12-08T00:08
9,True,False,0.0,155,1188,0,2019-12-08T00:09
10,True,False,0.0,159,950,0,2019-12-08T00:10
11,True,False,0.0,168,971,1,2019-12-08T00:11
12,True,False,0.0,164,1300,1,2019-12-08T00:12
13,True,False,0.0,160,981,2,2019-12-08T00:13
14,True,False,0.0,153,921,1,2019-12-08T00:14
15,True,False,0.0,156,1068,4,2019-12-08T00:15
16,True,False,0.0,147,987,0,2019-12-08T00:16
17,True,False,0.0,618,2748,4,2019-12-08T00:19
18,True,False,0.0,171,1086,0,2019-12-08T00:20
19,True,False,0.0,182,1016,8,2019-12-08T00:21
20,True,False,0.0,161,1095,0,2019-12-08T00:22
21,True,False,0.0,169,963,0,2019-12-08T00:23
22,True,False,0.0,164,1072,1,2019-12-08T00:24
23,True,False,0.0,148,987,0,2019-12-08T00:25
24,True,False,0.0,162,1020,0,2019-12-08T00:26
25,True,False,0.0,181,1113,0,2019-12-08T00:27
26,True,False,0.0,152,1288,1,2019-12-08T00:28
27,True,False,0.0,161,1060,0,2019-12-08T00:29
28,True,False,0.0,162,1092,0,2019-12-08T00:30
29,True,False,0.0,167,976,0,2019-12-08T00:31
30,True,False,0.0,155,938,0,2019-12-08T00:32
31,True,False,0.0,160,1157,1,2019-12-08T00:33
32,True,False,0.0,155,1035,0,2019-12-08T00:34
33,True,False,0.0,178,1223,0,2019-12-08T00:35
34,True,False,0.0,161,1099,2,2019-12-08T00:36
35,True,False,0.0,144,1017,2,2019-12-08T00:37
36,True,False,0.0,167,1050,0,2019-12-08T00:38
37,True,False,0.0,159,1149,1,2019-12-08T00:39
38,True,False,0.0,155,1160,0,2019-12-08T00:40
39,True,False,0.0,172,955,1,2019-12-08T00:41
40,True,False,0.0,190,1377,2,2019-12-08T00:42
41,True,False,0.0,136,874,0,2019-12-08T00:43
42,True,False,0.0,163,916,1,2019-12-08T00:44
43,True,False,0.0,160,1057,0,2019-12-08T00:45
44,True,False,0.0,155,1070,0,2019-12-08T00:46
45,True,False,0.0,162,905,1,2019-12-08T00:47
46,True,False,0.0,169,1152,1,2019-12-08T00:48
47,True,False,0.0,157,1134,0,2019-12-08T00:49
48,True,False,0.0,183,941,7,2019-12-08T00:50
49,True,False,0.0,194,1086,3,2019-12-08T00:51
50,True,False,0.0,148,821,0,2019-12-08T00:52
51,True,False,0.0,170,1053,0,2019-12-08T00:53
52,True,False,0.0,152,1008,2,2019-12-08T00:54
53,True,False,0.0,150,996,0,2019-12-08T00:55
54,True,False,0.0,166,889,2,2019-12-08T00:56
55,True,False,0.0,178,956,0,2019-12-08T00:57
56,True,False,0.0,168,1108,1,2019-12-08T00:58
57,True,False,0.0,162,979,2,2019-12-08T00:59
58,True,False,0.0,161,1105,0,2019-12-08T01:00
59,True,False,0.0,161,940,0,2019-12-08T01:01
60,True,False,0.0,160,993,0,2019-12-08T01:02
61,True,False,0.0,155,1267,0,2019-12-08T01:03
62,True,False,0.0,152,916,0,2019-12-08T01:04
63,True,False,0.0,159,1023,0,2019-12-08T01:05
64,True,False,0.0,156,1012,0,2019-12-08T01:06
65,True,False,0.0,152,1070,2,2019-12-08T01:07
66,True,False,0.0,173,934,3,2019-12-08T01:08
67,True,False,0.0,153,1033,0,2019-12-08T01:09
68,True,False,0.0,162,1213,0,2019-12-08T01:10
69,True,False,0.0,179,885,1,2019-12-08T01:11
70,True,False,0.0,147,1277,2,2019-12-08T01:12
71,True,False,0.0,150,933,2,2019-12-08T01:13
72,True,False,0.0,165,1006,1,2019-12-08T01:14
73,True,False,0.0,160,1011,2,2019-12-08T01:15
74,True,False,0.0,162,872,0,2019-12-08T01:16
75,True,False,0.0,598,2891,5,2019-12-08T01:19
76,True,False,0.0,190,1212,0,2019-12-08T01:20
77,True,False,0.0,212,1140,1,2019-12-08T01:21
78,True,False,0.0,189,1361,10,2019-12-08T01:22
79,True,False,0.0,173,904,5,2019-12-08T01:23
80,True,False,0.0,175,1185,1,2019-12-08T01:24
81,True,False,0.0,155,1078,2,2019-12-08T01:25
82,True,False,0.0,164,1025,1,2019-12-08T01:26
83,True,False,0.0,182,1072,0,2019-12-08T01:27
84,True,False,0.0,164,992,2,2019-12-08T01:28
85,True,False,0.0,163,1131,0,2019-12-08T01:29
86,True,False,0.0,170,926,1,2019-12-08T01:30
87,True,False,0.0,160,1004,0,2019-12-08T01:31
88,True,False,0.0,177,989,1,2019-12-08T01:32
89,True,False,0.0,176,1012,5,2019-12-08T01:33
90,True,False,0.0,168,1042,5,2019-12-08T01:34
91,True,False,0.0,178,1003,2,2019-12-08T01:35
92,True,False,0.0,180,1121,1,2019-12-08T01:36
93,True,False,0.0,163,1117,2,2019-12-08T01:37
94,True,False,0.0,173,1048,6,2019-12-08T01:38
95,True,False,0.0,160,1119,2,2019-12-08T01:39
96,True,False,0.0,170,1120,2,2019-12-08T01:40
97,True,False,0.0,178,1115,0,2019-12-08T01:41
98,True,False,0.0,162,1149,0,2019-12-08T01:42
99,True,False,0.0,161,1090,1,2019-12-08T01:43
100,True,False,0.0,164,996,2,2019-12-08T01:44
