,duration,site_id,hour,counts,impacted_counts,failure,success,association,authentication,dhcp,unclear,date,dayofweek,sle
8772,2714.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,18,153,10,24.0,2690.0,0.0,0.0,0.0,24.0,2019-08-30 18:00:00,4,0.9911569638909359
14585,10926.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,19,224,32,86.0,10840.0,4.0,0.0,0.0,82.0,2019-08-30 19:00:00,4,0.9921288669229361
27637,9348.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,20,233,30,80.0,9268.0,2.0,0.0,0.0,74.0,2019-08-30 20:00:00,4,0.9914420196833548
33265,9335.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,21,241,29,82.0,9253.0,4.0,6.0,0.0,72.0,2019-08-30 21:00:00,4,0.9912158543117301
44059,8118.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,22,200,33,86.0,8032.0,4.0,0.0,0.0,82.0,2019-08-30 22:00:00,4,0.9894062576989406
51811,6338.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,23,203,26,62.0,6276.0,0.0,0.0,0.0,62.0,2019-08-30 23:00:00,4,0.9902177343010413
62948,5792.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,0,163,29,66.0,5726.0,0.0,2.0,0.0,62.0,2019-08-31 00:00:00,5,0.9886049723756906
71757,3128.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,1,130,18,56.0,3072.0,2.0,4.0,0.0,50.0,2019-08-31 01:00:00,5,0.9820971867007673
80668,3576.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,2,115,17,44.0,3532.0,6.0,8.0,0.0,28.0,2019-08-31 02:00:00,5,0.9876957494407159
87979,2680.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,3,94,21,54.0,2626.0,2.0,0.0,0.0,50.0,2019-08-31 03:00:00,5,0.9798507462686568
92419,1120.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,4,49,8,16.0,1104.0,0.0,2.0,0.0,14.0,2019-08-31 04:00:00,5,0.9857142857142858
100696,900.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,5,36,5,10.0,890.0,2.0,2.0,0.0,6.0,2019-08-31 05:00:00,5,0.9888888888888889
103732,764.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,6,25,4,12.0,752.0,0.0,6.0,0.0,6.0,2019-08-31 06:00:00,5,0.9842931937172775
115597,596.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,7,24,3,6.0,590.0,0.0,0.0,0.0,6.0,2019-08-31 07:00:00,5,0.9899328859060402
121604,1178.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,8,53,3,6.0,1172.0,0.0,0.0,0.0,6.0,2019-08-31 08:00:00,5,0.9949066213921901
127559,3394.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,9,65,3,8.0,3386.0,0.0,0.0,0.0,8.0,2019-08-31 09:00:00,5,0.9976428992339422
130476,4550.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,10,84,6,14.0,4536.0,0.0,0.0,0.0,14.0,2019-08-31 10:00:00,5,0.9969230769230769
136321,6138.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,11,113,9,20.0,6118.0,4.0,0.0,0.0,16.0,2019-08-31 11:00:00,5,0.9967416096448355
147522,8150.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,12,140,24,60.0,8090.0,2.0,2.0,0.0,54.0,2019-08-31 12:00:00,5,0.992638036809816
150515,9106.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,13,168,17,44.0,9062.0,0.0,4.0,0.0,40.0,2019-08-31 13:00:00,5,0.9951680210849989
159499,10838.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,14,200,31,74.0,10764.0,2.0,4.0,0.0,68.0,2019-08-31 14:00:00,5,0.9931721719874516
171049,9568.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,15,219,25,56.0,9512.0,2.0,4.0,0.0,46.0,2019-08-31 15:00:00,5,0.9941471571906354
178977,10226.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,16,241,35,84.0,10142.0,2.0,6.0,0.0,76.0,2019-08-31 16:00:00,5,0.991785644435752
188912,11222.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,17,255,42,102.0,11120.0,2.0,6.0,0.0,94.0,2019-08-31 17:00:00,5,0.9909107111031902
201407,10170.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,18,258,35,82.0,10088.0,8.0,2.0,0.0,70.0,2019-08-31 18:00:00,5,0.991937069813176
208922,9875.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,19,224,30,82.0,9793.0,4.0,0.0,0.0,76.0,2019-08-31 19:00:00,5,0.9916962025316456
216115,8402.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,20,231,38,86.0,8316.0,0.0,0.0,0.0,86.0,2019-08-31 20:00:00,5,0.9897643418233754
223179,6680.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,21,213,32,80.0,6600.0,2.0,2.0,0.0,76.0,2019-08-31 21:00:00,5,0.9880239520958084
237190,5682.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,22,154,21,50.0,5632.0,0.0,2.0,0.0,48.0,2019-08-31 22:00:00,5,0.991200281590989
242208,4512.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,23,137,27,54.0,4458.0,6.0,2.0,0.0,46.0,2019-08-31 23:00:00,5,0.988031914893617
257994,4050.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,0,137,23,50.0,4000.0,2.0,0.0,0.0,48.0,2019-09-01 00:00:00,6,0.9876543209876543
262760,2540.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,1,95,10,26.0,2514.0,0.0,0.0,0.0,22.0,2019-09-01 01:00:00,6,0.989763779527559
271166,2568.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,2,76,13,34.0,2534.0,2.0,0.0,0.0,28.0,2019-09-01 02:00:00,6,0.9867601246105919
279485,2322.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,3,64,13,36.0,2286.0,0.0,2.0,0.0,32.0,2019-09-01 03:00:00,6,0.9844961240310077
285274,1900.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,4,49,8,26.0,1874.0,4.0,0.0,0.0,22.0,2019-09-01 04:00:00,6,0.9863157894736843
294281,1500.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,5,44,9,22.0,1478.0,4.0,2.0,0.0,16.0,2019-09-01 05:00:00,6,0.9853333333333333
301298,1138.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,6,25,4,16.0,1122.0,0.0,0.0,0.0,14.0,2019-09-01 06:00:00,6,0.9859402460456942
308630,1042.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,7,28,3,10.0,1032.0,0.0,0.0,0.0,10.0,2019-09-01 07:00:00,6,0.9904030710172744
311612,1154.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,8,36,3,12.0,1142.0,0.0,0.0,0.0,12.0,2019-09-01 08:00:00,6,0.9896013864818024
319968,2966.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,9,51,4,12.0,2954.0,0.0,0.0,0.0,12.0,2019-09-01 09:00:00,6,0.9959541469993257
323687,4508.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,10,56,4,20.0,4488.0,0.0,0.0,0.0,20.0,2019-09-01 10:00:00,6,0.9955634427684117
332128,5530.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,11,88,8,18.0,5512.0,0.0,4.0,0.0,14.0,2019-09-01 11:00:00,6,0.996745027124774
338590,6882.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,12,100,13,38.0,6844.0,0.0,0.0,0.0,38.0,2019-09-01 12:00:00,6,0.994478349317059
349913,7140.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,13,117,10,22.0,7118.0,0.0,2.0,0.0,18.0,2019-09-01 13:00:00,6,0.9969187675070028
351885,7762.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,14,148,9,20.0,7742.0,0.0,0.0,0.0,20.0,2019-09-01 14:00:00,6,0.9974233444988405
362849,8000.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,15,165,17,40.0,7960.0,4.0,0.0,0.0,36.0,2019-09-01 15:00:00,6,0.995
375617,10050.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,16,213,33,86.0,9964.0,2.0,0.0,0.0,84.0,2019-09-01 16:00:00,6,0.9914427860696517
378377,10788.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,17,221,23,52.0,10736.0,0.0,2.0,0.0,48.0,2019-09-01 17:00:00,6,0.9951798294401186
388528,11174.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,18,249,23,52.0,11122.0,2.0,0.0,0.0,50.0,2019-09-01 18:00:00,6,0.9953463397172007
397799,9126.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,19,230,33,85.0,9041.0,2.0,0.0,0.0,81.0,2019-09-01 19:00:00,6,0.9906859522244138
412314,8154.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,20,206,23,58.0,8096.0,4.0,0.0,0.0,54.0,2019-09-01 20:00:00,6,0.9928869266617611
419368,7970.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,21,200,32,80.0,7890.0,4.0,2.0,0.0,70.0,2019-09-01 21:00:00,6,0.9899623588456713
426033,8230.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,22,184,25,58.0,8172.0,8.0,0.0,0.0,50.0,2019-09-01 22:00:00,6,0.9929526123936816
438049,5936.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,23,159,22,50.0,5886.0,4.0,0.0,0.0,46.0,2019-09-01 23:00:00,6,0.991576819407008
447236,6118.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,0,142,19,52.0,6066.0,2.0,2.0,0.0,48.0,2019-09-02 00:00:00,0,0.9915004903563256
450363,4434.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,1,131,19,48.0,4386.0,0.0,0.0,0.0,46.0,2019-09-02 01:00:00,0,0.9891745602165088
456768,3996.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,2,102,10,26.0,3970.0,0.0,0.0,0.0,24.0,2019-09-02 02:00:00,0,0.9934934934934935
468966,2602.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,3,78,10,28.0,2574.0,0.0,0.0,0.0,28.0,2019-09-02 03:00:00,0,0.98923904688701
471997,1746.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,4,35,5,10.0,1736.0,2.0,0.0,0.0,8.0,2019-09-02 04:00:00,0,0.9942726231386025
478701,1334.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,5,36,6,12.0,1322.0,2.0,2.0,0.0,8.0,2019-09-02 05:00:00,0,0.9910044977511244
484990,1356.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,6,28,2,8.0,1348.0,0.0,0.0,0.0,8.0,2019-09-02 06:00:00,0,0.9941002949852508
489882,998.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,7,43,4,10.0,988.0,0.0,0.0,0.0,10.0,2019-09-02 07:00:00,0,0.9899799599198397
501288,1642.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,8,54,2,10.0,1632.0,0.0,0.0,0.0,10.0,2019-09-02 08:00:00,0,0.9939098660170523
505044,3630.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,9,58,3,6.0,3624.0,2.0,0.0,0.0,4.0,2019-09-02 09:00:00,0,0.9983471074380166
512700,3992.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,10,81,3,10.0,3982.0,2.0,0.0,0.0,8.0,2019-09-02 10:00:00,0,0.9974949899799599
521999,5944.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,11,104,6,14.0,5930.0,0.0,0.0,0.0,14.0,2019-09-02 11:00:00,0,0.9976446837146703
530386,8856.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,12,132,15,34.0,8822.0,0.0,0.0,0.0,34.0,2019-09-02 12:00:00,0,0.9961607949412827
537981,10012.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,13,157,14,36.0,9976.0,2.0,0.0,0.0,32.0,2019-09-02 13:00:00,0,0.9964043148222134
542196,10410.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,14,172,15,32.0,10378.0,6.0,2.0,0.0,24.0,2019-09-02 14:00:00,0,0.996926032660903
553862,9492.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,15,202,17,36.0,9456.0,6.0,0.0,0.0,30.0,2019-09-02 15:00:00,0,0.9962073324905183
561032,11174.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,16,249,31,72.0,11102.0,0.0,2.0,0.0,70.0,2019-09-02 16:00:00,0,0.9935564703776625
572921,12520.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,17,262,24,58.0,12462.0,4.0,6.0,0.0,46.0,2019-09-02 17:00:00,0,0.9953674121405751
582424,11404.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,18,264,28,75.0,11329.0,2.0,2.0,0.0,71.0,2019-09-02 18:00:00,0,0.9934233602244826
591289,10406.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,19,241,30,66.0,10340.0,2.0,2.0,0.0,58.0,2019-09-02 19:00:00,0,0.9936575052854123
596286,10252.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,20,222,34,86.0,10166.0,4.0,0.0,0.0,82.0,2019-09-02 20:00:00,0,0.9916113928989465
604337,8160.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,21,213,32,76.0,8084.0,2.0,0.0,0.0,74.0,2019-09-02 21:00:00,0,0.990686274509804
617762,8034.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,22,177,25,54.0,7980.0,0.0,4.0,0.0,46.0,2019-09-02 22:00:00,0,0.9932785660941
621762,6177.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,23,167,27,66.0,6111.0,8.0,2.0,0.0,54.0,2019-09-02 23:00:00,0,0.9893152015541525
631591,5022.0,c3a13db1-44e4-4fcc-a28c-cbbc131fb1f7,0,139,15,32.0,4990.0,2.0,0.0,0.0,26.0,2019-09-03 00:00:00,1,0.9936280366387893
